Id;Temperature;AirHumidity;Timestamp;SoilHumidity;Light
377;22,60000038;37;2025-05-07 08:59:56.3966667;667;67
378;22,60000038;37;2025-05-07 08:59:59.4433333;667;67
379;22,60000038;37;2025-05-07 09:00:02.3900000;668;68
380;22,60000038;37;2025-05-07 09:00:05.4300000;668;68
381;22,60000038;37;2025-05-07 09:00:08.4600000;667;67
382;22,60000038;37;2025-05-07 09:00:11.4300000;668;68
383;22,60000038;37;2025-05-07 09:00:14.4433333;667;67
384;22,60000038;37;2025-05-07 09:00:17.4966667;668;68
385;22,60000038;37;2025-05-07 09:00:20.4133333;668;68
386;22,60000038;37;2025-05-07 09:00:23.4433333;668;68
387;22,60000038;37;2025-05-07 09:00:26.4000000;662;62
388;22,60000038;37;2025-05-07 09:00:29.4466667;668;68
389;22,60000038;37;2025-05-07 09:00:32.4900000;668;68
390;22,60000038;37;2025-05-07 09:00:35.4133333;668;68
391;22,60000038;37;2025-05-07 09:00:38.4433333;668;68
392;22,60000038;37;2025-05-07 09:00:41.3833333;668;68
393;22,60000038;37;2025-05-07 09:00:44.4300000;668;68
394;22,60000038;37;2025-05-07 09:00:47.4866667;668;68
395;22,60000038;37;2025-05-07 09:00:50.4133333;667;67
396;22,60000038;37;2025-05-07 09:00:53.4600000;668;68
397;22,60000038;37;2025-05-07 09:00:56.5066667;664;64
398;22,60000038;37;2025-05-07 09:00:59.4766667;668;68
399;22,60000038;37;2025-05-07 09:01:02.4866667;668;68
400;22,60000038;37;2025-05-07 09:01:05.4300000;668;68
401;22,60000038;37;2025-05-07 09:01:08.4466667;663;63
402;22,60000038;37;2025-05-07 09:01:11.4933333;668;68
403;22,60000038;37;2025-05-07 09:01:14.4433333;668;68
404;22,60000038;37;2025-05-07 09:01:17.4766667;668;68
405;22,39999962;37;2025-05-07 09:01:20.4133333;668;68
406;22,29999924;37;2025-05-07 09:01:23.4766667;668;68
407;22,20000076;37;2025-05-07 09:01:26.4933333;668;68
408;22,20000076;37;2025-05-07 09:01:29.4266667;668;68
409;22,20000076;37;2025-05-07 09:01:32.5933333;668;68
410;22,20000076;37;2025-05-07 09:01:35.4133333;664;64
411;22,20000076;37;2025-05-07 09:01:38.4466667;668;68
412;22,20000076;37;2025-05-07 09:01:41.4933333;668;68
413;22,20000076;37;2025-05-07 09:01:44.4300000;668;68
414;22,20000076;37;2025-05-07 09:01:47.4700000;668;68
415;22,20000076;37;2025-05-07 09:01:50.5100000;667;67
416;22,20000076;37;2025-05-07 09:01:53.4466667;668;68
417;22,20000076;37;2025-05-07 09:01:56.4933333;668;68
418;22,20000076;37;2025-05-07 09:01:59.4300000;668;68
419;22,20000076;37;2025-05-07 09:02:02.4800000;668;68
420;22,20000076;37;2025-05-07 09:02:05.5100000;668;68
421;22,20000076;37;2025-05-07 09:02:08.4466667;668;68
422;22,20000076;37;2025-05-07 09:02:11.4933333;668;68
423;22,20000076;37;2025-05-07 09:02:14.4333333;667;67
424;22,20000076;37;2025-05-07 09:02:17.4766667;668;68
425;22,20000076;37;2025-05-07 09:02:20.4966667;668;68
426;22,20000076;37;2025-05-07 09:02:23.4466667;668;68
427;22,20000076;37;2025-05-07 09:02:26.4933333;668;68
428;22,20000076;37;2025-05-07 09:02:29.4600000;668;68
429;22,20000076;37;2025-05-07 09:02:32.4766667;668;68
430;22,20000076;37;2025-05-07 09:02:35.5100000;668;68
431;22,20000076;37;2025-05-07 09:02:38.4633333;668;68
432;22,20000076;37;2025-05-07 09:02:41.4766667;668;68
433;22,20000076;37;2025-05-07 09:02:44.5233333;668;68
434;22,20000076;37;2025-05-07 09:02:47.4600000;668;68
435;22,20000076;37;2025-05-07 09:02:50.5233333;668;68
436;22,20000076;37;2025-05-07 09:02:53.4533333;668;68
437;22,20000076;37;2025-05-07 09:02:56.4933333;668;68
438;22,20000076;37;2025-05-07 09:02:59.5233333;668;68
439;22,20000076;37;2025-05-07 09:03:02.4633333;668;68
440;22,20000076;37;2025-05-07 09:03:05.5100000;668;68
441;22,20000076;37;2025-05-07 09:03:08.4466667;663;63
442;22,20000076;37;2025-05-07 09:03:11.4766667;668;68
443;22,20000076;37;2025-05-07 09:03:14.6266667;668;68
444;22,20000076;37;2025-05-07 09:03:17.4766667;663;63
445;22,20000076;37;2025-05-07 09:03:20.5100000;668;68
446;22,20000076;37;2025-05-07 09:03:23.4433333;668;68
447;22,20000076;37;2025-05-07 09:03:26.4933333;668;68
448;22,20000076;37;2025-05-07 09:03:29.5233333;668;68
449;22,20000076;37;2025-05-07 09:03:32.4600000;668;68
450;22,20000076;37;2025-05-07 09:03:35.5100000;668;68
